iter	RMSE
0	8.494148376
1	7.722124154
2	7.177454929
3	6.785767051
4	6.50935024
5	6.306920394
6	6.166261596
7	6.064038585
8	5.984475319
9	5.925278728
10	5.880347566
11	5.842770364
12	5.813943306
13	5.794304107
14	5.774317027
15	5.757083149
16	5.742527323
17	5.728560723
18	5.716668068
19	5.704662619
20	5.697548733
21	5.688198129
22	5.679744855
23	5.670701942
24	5.664672984
25	5.656438985
26	5.646906359
27	5.640134889
28	5.630826412
29	5.623383662
30	5.616262384
31	5.610213803
32	5.60548206
33	5.601432776
34	5.596791307
35	5.591527764
36	5.58478844
37	5.579467998
38	5.575835094
39	5.572289522
40	5.567991962
41	5.564960979
42	5.560098789
43	5.554801995
44	5.549271687
45	5.544320047
46	5.539613171
47	5.53616787
48	5.533022615
49	5.528219049
50	5.524942505
51	5.521283405
52	5.519101348
53	5.515808316
54	5.511367993
55	5.507555568
56	5.503524116
57	5.500459819
58	5.496052628
59	5.491599858
60	5.488066647
61	5.483281025
62	5.480385473
63	5.477426784
64	5.474537474
65	5.471260436
66	5.467364962
67	5.463100908
68	5.459437992
69	5.456512047
70	5.45349441
71	5.451133122
72	5.448142321
73	5.445648837
74	5.442217847
75	5.43928461
76	5.436790432
77	5.434280204
78	5.430890731
79	5.429719405
80	5.426904375
81	5.424381542
82	5.42151355
83	5.418377601
84	5.415585179
85	5.412832897
86	5.4110347
87	5.409237698
88	5.406792555
89	5.40442944
90	5.401840604
91	5.399622871
92	5.39640231
93	5.39380539
94	5.390122947
95	5.38806385
96	5.385162803
97	5.382822163
98	5.379668239
99	5.377290318
100	5.374477938
101	5.371965588
102	5.370195244
103	5.369142777
104	5.365814902
105	5.364602439
106	5.361835581
107	5.359292254
108	5.357836849
109	5.35478586
110	5.352937298
111	5.350061798
112	5.348530742
113	5.34615023
114	5.344032946
115	5.341845379
116	5.340329095
117	5.339225115
118	5.337432053
119	5.335219578
120	5.333578638
121	5.330984181
122	5.328847528
123	5.327350412
124	5.325909119
125	5.324663661
126	5.32307213
127	5.320904553
128	5.319465628
129	5.31754607
130	5.3160456
131	5.313357487
132	5.311018992
133	5.309510674
134	5.307791986
135	5.305245687
136	5.303661832
137	5.3018488
138	5.299871379
139	5.298460223
140	5.296974068
141	5.295311273
142	5.293878119
143	5.291758012
144	5.289648433
145	5.287081489
146	5.284807907
147	5.282253519
148	5.28047978
149	5.278806522
150	5.277049203
151	5.275669562
152	5.274382869
153	5.273225473
154	5.271168527
155	5.269504245
156	5.268037948
157	5.266778984
158	5.264881915
159	5.262306552
160	5.260252919
161	5.25841556
162	5.256024924
163	5.254340072
164	5.253266262
165	5.251554714
166	5.249901027
167	5.248446824
168	5.246470208
169	5.245103112
170	5.243655416
171	5.242059872
172	5.239584929
173	5.237726407
174	5.236051227
175	5.23459624
176	5.232768246
177	5.231103466
178	5.229592382
179	5.227727802
180	5.225848504
181	5.224304583
182	5.222563899
183	5.220125965
184	5.218156062
185	5.216755001
186	5.215326641
187	5.213817705
188	5.212163977
189	5.210920893
190	5.209504929
191	5.208245919
192	5.206501961
193	5.204771604
194	5.203263975
195	5.201213949
196	5.19934727
197	5.197800701
198	5.196068584
199	5.19446305
200	5.192618484
201	5.191471923
202	5.190430035
203	5.188817234
204	5.187597389
205	5.186108037
206	5.184876495
207	5.183265767
208	5.182142058
209	5.180869357
210	5.179540876
211	5.177452421
212	5.176213098
213	5.174997858
214	5.173329089
215	5.172331138
216	5.171141255
217	5.169376911
218	5.168273272
219	5.166877866
220	5.16577357
221	5.164242349
222	5.162933064
223	5.161323057
224	5.159817449
225	5.157599462
226	5.156408525
227	5.154503782
228	5.1531906
229	5.151192101
230	5.149875658
231	5.148406206
232	5.14717358
233	5.145970395
234	5.14483161
235	5.143435589
236	5.14225489
237	5.140202222
238	5.139124216
239	5.137659852
240	5.136424501
241	5.134987086
242	5.133400636
243	5.132217124
244	5.131229595
245	5.129754041
246	5.12857549
247	5.127721157
248	5.126705772
249	5.125789089
250	5.12471187
251	5.122968099
252	5.121021282
253	5.119693165
254	5.11824699
255	5.11702109
256	5.115009588
257	5.113427821
258	5.111711362
259	5.110484949
260	5.109434283
261	5.108135412
262	5.106860982
263	5.105815091
264	5.104128758
265	5.10290188
266	5.101836392
267	5.100470389
268	5.098580983
269	5.097045205
270	5.096114312
271	5.094427447
272	5.093207708
273	5.091735171
274	5.090726401
275	5.089434876
276	5.088191596
277	5.087031487
278	5.085995765
279	5.084946069
280	5.083681896
281	5.082544313
282	5.080952814
283	5.079526673
284	5.078690838
285	5.077414442
286	5.076355027
287	5.075740947
288	5.074205946
289	5.073217084
290	5.072108643
291	5.071150286
292	5.069706866
293	5.068239082
294	5.066838116
295	5.065727813
296	5.065058576
297	5.063977037
298	5.062992663
299	5.061034433
