iter	Passed	Remaining
0	16	4802
1	28	4227
2	38	3804
3	46	3443
4	53	3175
5	61	3002
6	67	2843
7	74	2719
8	81	2629
9	88	2555
10	94	2485
11	100	2423
12	107	2372
13	114	2332
14	120	2289
15	126	2246
16	133	2214
17	139	2192
18	146	2162
19	153	2146
20	159	2117
21	166	2099
22	173	2084
23	179	2066
24	186	2052
25	192	2032
26	199	2017
27	206	2003
28	212	1987
29	219	1978
30	226	1966
31	233	1958
32	240	1945
33	247	1935
34	254	1927
35	261	1916
36	269	1912
37	275	1900
38	281	1886
39	289	1883
40	296	1873
41	303	1863
42	310	1857
43	317	1848
44	325	1842
45	332	1835
46	339	1827
47	346	1818
48	352	1805
49	359	1797
50	365	1785
51	372	1777
52	379	1766
53	385	1757
54	392	1750
55	398	1738
56	405	1728
57	412	1721
58	419	1712
59	426	1705
60	433	1698
61	440	1689
62	446	1680
63	453	1672
64	459	1662
65	466	1654
66	473	1645
67	479	1635
68	486	1629
69	492	1619
70	499	1610
71	505	1600
72	511	1591
73	518	1582
74	525	1575
75	532	1569
76	538	1560
77	545	1552
78	552	1545
79	556	1529
80	562	1521
81	569	1513
82	575	1504
83	582	1497
84	589	1491
85	596	1483
86	602	1476
87	609	1467
88	615	1458
89	621	1451
90	627	1442
91	634	1433
92	641	1426
93	647	1419
94	654	1412
95	661	1405
96	668	1398
97	674	1390
98	682	1385
99	689	1379
100	696	1371
101	703	1365
102	709	1357
103	715	1348
104	722	1341
105	729	1334
106	735	1327
107	743	1321
108	751	1316
109	760	1313
110	768	1308
111	775	1302
112	782	1294
113	788	1286
114	794	1278
115	801	1271
116	808	1263
117	814	1256
118	821	1249
119	828	1242
120	834	1234
121	841	1227
122	847	1219
123	853	1211
124	860	1204
125	866	1196
126	873	1189
127	880	1183
128	886	1175
129	893	1168
130	900	1161
131	907	1154
132	913	1146
133	919	1139
134	925	1131
135	932	1124
136	939	1117
137	947	1111
138	953	1104
139	960	1097
140	967	1090
141	974	1083
142	981	1077
143	989	1071
144	996	1065
145	1004	1059
146	1011	1053
147	1019	1046
148	1026	1040
149	1033	1033
150	1040	1026
151	1047	1019
152	1054	1013
153	1061	1006
154	1067	998
155	1074	991
156	1081	985
157	1088	977
158	1095	971
159	1102	964
160	1108	957
161	1115	950
162	1121	942
163	1128	935
164	1134	928
165	1140	920
166	1147	914
167	1154	906
168	1160	899
169	1166	892
170	1173	884
171	1179	877
172	1185	870
173	1192	863
174	1198	856
175	1205	849
176	1211	842
177	1218	835
178	1225	828
179	1232	821
180	1238	814
181	1245	807
182	1252	800
183	1258	793
184	1264	786
185	1271	779
186	1278	772
187	1284	765
188	1291	758
189	1298	751
190	1304	744
191	1310	737
192	1317	730
193	1323	722
194	1329	716
195	1336	709
196	1343	702
197	1349	694
198	1355	688
199	1362	681
200	1368	674
201	1375	667
202	1381	660
203	1388	653
204	1394	646
205	1401	639
206	1408	632
207	1415	625
208	1421	619
209	1428	612
210	1434	605
211	1441	598
212	1448	591
213	1454	584
214	1459	577
215	1465	570
216	1472	563
217	1479	556
218	1485	549
219	1492	542
220	1498	535
221	1505	528
222	1512	522
223	1518	515
224	1525	508
225	1532	501
226	1539	495
227	1546	488
228	1553	481
229	1560	474
230	1566	467
231	1573	461
232	1579	454
233	1586	447
234	1592	440
235	1599	433
236	1605	426
237	1611	419
238	1618	413
239	1625	406
240	1631	399
241	1638	392
242	1645	385
243	1652	379
244	1658	372
245	1665	365
246	1672	358
247	1678	352
248	1684	345
249	1691	338
250	1697	331
251	1703	324
252	1710	317
253	1716	310
254	1723	304
255	1729	297
256	1736	290
257	1742	283
258	1749	276
259	1755	270
260	1762	263
261	1768	256
262	1776	249
263	1782	243
264	1789	236
265	1796	229
266	1802	222
267	1809	216
268	1816	209
269	1822	202
270	1828	195
271	1835	188
272	1841	182
273	1848	175
274	1854	168
275	1860	161
276	1866	155
277	1873	148
278	1879	141
279	1886	134
280	1892	127
281	1899	121
282	1905	114
283	1911	107
284	1918	100
285	1925	94
286	1931	87
287	1937	80
288	1944	74
289	1950	67
290	1956	60
291	1962	53
292	1969	47
293	1975	40
294	1982	33
295	1988	26
296	1995	20
297	2001	13
298	2008	6
299	2015	0
